Итерация;Выплаты;Доля_в_выплатах;Восст_прем;Премия_Re;Фин_рез;Процент_доли
296;12421492,059999999;1610784,0;140471,96;4000000,0;2529687,96;0,12967717503013082
297;14885499,629999999;1833409,5;144434,69;4000000,0;2311025,19;0,12316748148009594
298;15082008,73;1602696,0;140327,99;4000000,0;2537631,99;0,10626542052134191
299;12541102,35;1602696,0;140327,99;4000000,0;2537631,99;0,1277954644872187
300;11388535,969999999;1728370,0;142564,99;4000000,0;2414194,99;0,15176401993662053
301;13393894,950000001;1602696,0;140327,99;4000000,0;2537631,99;0,11965869569553401
302;11969109,46;1602696,0;140327,99;4000000,0;2537631,99;0,13390269387677567
303;12062652,44;1605392,0;140375,98;4000000,0;2534983,98;0,13308781032905231
304;14952354,57;1605392,0;140375,98;4000000,0;2534983,98;0,10736717033322732
305;13330520,96;1705039,5;142149,7;4000000,0;2437110,2;0,12790494123344448
306;14692717,049999999;1605392,0;140375,98;4000000,0;2534983,98;0,10926447399325642
307;17016855,78;1605392,0;140375,98;4000000,0;2534983,98;0,09434128259386353
308;13958308,910000004;1608088,0;140423,97;4000000,0;2532335,97;0,11520650605804651
309;13089191,310000002;1610784,0;140471,96;4000000,0;2529687,96;0,12306214813816482
310;12620235,46;1699647,5;142053,73;4000000,0;2442406,23;0,13467636997638077
311;16114516,45;1613480,0;140519,94;4000000,0;2527039,94;0,10012587129165766
312;14482610,219999999;1605392,0;140375,98;4000000,0;2534983,98;0,11084963108259363
313;16104473,690000001;1613480,0;140519,94;4000000,0;2527039,94;0,10018830984845428
314;13559771,09;1602696,0;140327,99;4000000,0;2537631,99;0,11819491563408097
315;12616476,48;1616176,0;140567,93;4000000,0;2524391,93;0,12810042507208796
316;10583294,8;1602696,0;140327,99;4000000,0;2537631,99;0,1514363938912483
317;12782652,89;1702343,5;142101,71;4000000,0;2439758,21;0,13317607187251096
318;16927638,79;1610784,0;140471,96;4000000,0;2529687,96;0,0951570399146023
319;14431072,19;1610784,0;140471,96;4000000,0;2529687,96;0,11161914920751291
320;17284124,57;1705039,5;142149,7;4000000,0;2437110,2;0,09864772109774259
321;14747306,329999998;1610784,0;140471,96;4000000,0;2529687,96;0,10922564188710387
322;15825573,0;1608088,0;140423,97;4000000,0;2532335,97;0,10161325596235915
323;16638899,71;1610784,0;140471,96;4000000,0;2529687,96;0,09680832435283666
324;13751331,01;1608088,0;140423,97;4000000,0;2532335,97;0,11694053461665599
325;15370867,010000002;1707735,5;142197,69;4000000,0;2434462,19;0,11110209325791309
326;12335610,53;1602696,0;140327,99;4000000,0;2537631,99;0,1299243354110662
327;16282796,690000001;1710431,5;142245,68;4000000,0;2431814,18;0,10504531454663762
328;15234357,52;1608088,0;140423,97;4000000,0;2532335,97;0,1055566667572864
329;15404302,76;1618872,0;140615,92;4000000,0;2521743,92;0,10509219568208487
