;0
1588;27899,63
1589;24820,62
1590;9299,88
1591;23752,39
1592;37400,58
1593;63716,72
1594;43430,42
1595;84201,58
1596;72639,57
1597;26014,52
1598;22244,3
1599;30790,13
1600;10682,29
1601;193439,24
1602;125674,0
1603;17971,38
1604;125674,0
1605;15457,9
1606;10933,64
1607;125674,0
1608;41434,72
1609;69497,72
1610;72262,55
1611;105943,18
1612;43219,29
1613;195548,74
1614;62762,85
1615;41346,75
1616;8471,43
1617;502696,0
1618;24757,78
1619;59946,5
1620;49522,42
1621;74172,07
1622;90108,26
1623;5781,0
1624;4147,24
1625;9928,25
1626;41849,44
1627;502696,0
1628;83070,51
1629;50018,25
1630;89354,21
1631;596951,5
1632;20296,35
1633;8420,16
1634;21113,23
1635;35188,72
1636;17334,49
1637;19605,14
1638;35565,74
1639;22621,32
1640;46876,4
1641;83698,88
1642;62837,0
1643;11823,82
1644;88331,54
1645;227934,76
1646;162307,97
1647;15709,25
1648;237864,12
1649;13070,1
1650;41723,77
1651;133717,14
1652;46545,18
1653;104058,07
1654;57363,9
1655;29332,31
1656;255118,22
1657;68046,19
1658;102223,23
1659;23450,77
1660;25116,21
1661;105943,18
1662;21113,23
1663;28025,3
1664;42741,73
1665;8030,57
1666;100790,55
1667;117612,01
1668;1734,3
1669;49138,53
1670;67801,12
1671;34686,02
1672;85081,3
1673;80431,36
1674;24255,08
1675;125674,0
1676;228362,23
1677;52406,06
1678;27773,95
1679;121778,11
1680;74650,36
1681;331150,99
1682;119640,39
1683;31732,69
1684;154076,32
1685;30538,78
1686;79048,95
1687;39335,96
1688;26014,52
1689;41472,42
1690;131957,7
1691;86715,06
1692;95260,89
1693;13698,47
1694;44739,94
1695;47630,45
1696;44488,6
1697;271305,03
1698;10430,94
1699;19479,47
1700;96014,94
1701;234648,55
1702;188511,0
1703;364328,93
1704;40749,79
1705;14201,16
1706;182418,02
1707;88474,5
1708;15834,92
1709;86966,41
1710;17192,2
1711;100162,18
1712;36319,79
1713;51149,32
1714;207110,75
1715;333538,8
1716;13447,12
1717;92998,76
1718;8420,16
1719;20610,54
1720;11687,68
1721;125674,0
1722;24632,1
1723;22118,62
1724;97397,35
1725;25386,15
1726;14326,84
1727;27773,95
1728;45493,99
1729;201078,4
1730;7414,77
1731;69120,7
1732;68240,98
1733;92873,09
1734;55296,56
1735;20610,54
1736;48887,19
1737;58689,76
1738;7540,44
1739;135350,9
1740;65734,84
1741;78550,38
1742;117128,17
1743;17079,1
1744;16161,68
1745;13007,26
1746;17845,71
1747;70628,79
1748;65727,5
1749;22621,32
1750;237272,51
1751;502696,0
1752;84829,95
1753;52505,53
1754;28905,02
1755;13824,14
1756;117756,54
1757;11184,99
1758;306770,23
1759;100287,85
1760;120270,02
1761;47379,1
1762;36948,16
1763;24129,41
1764;24757,78
1765;9676,9
1766;125674,0
1767;43734,55
1768;502696,0
1769;239408,97
1770;13195,77
1771;502696,0
1772;28150,98
1773;32046,87
1774;58438,41
1775;111702,87
1776;54039,82
1777;163627,55
1778;20117,89
1779;78609,09
1780;14201,16
1781;74248,2
1782;106797,77
1783;13698,47
1784;46499,38
1785;220180,85
1786;46750,73
1787;246321,04
1788;125674,0
1789;354777,7
1790;160357,8
1791;79413,38
1792;21741,6
1793;91679,18
1794;36571,13
1795;100790,55
1796;312425,56
1797;33806,31
1798;33554,96
1799;104309,42
1800;28779,35
1801;104560,77
1802;45745,34
1803;4524,26
1804;23501,04
1805;103806,72
1806;25507,23
1807;66984,24
1808;11059,31
1809;21896,04
1810;25386,15
1811;100780,47
1812;100780,47
1813;206859,4
1814;7414,77
1815;502696,0
1816;64093,74
1817;323736,22
1818;80934,06
1819;59569,48
1820;27396,93
1821;32228,47
1822;15646,41
1823;502696,0
1824;9802,57
1825;66104,52
1826;232748,25
1827;212401,63
1828;28716,51
1829;135350,9
1830;65601,83
1831;82190,8
1832;10807,96
1833;125674,0
1834;502696,0
1835;387201,59
1836;20107,84
1837;154807,75
1838;65601,83
1839;66984,24
1840;47127,75
1841;25951,68
1842;386070,53
1843;65476,15
1844;14955,21
1845;7791,79
1846;42603,49
1847;78609,09
1848;22369,97
